shuffle size	insert		search		delete
0	10	0.000000	0.000000	0.000000
0	100	0.000000	0.000000	0.000000
0	1000	0.000000	0.000000	0.000000
0	10000	0.000000	0.216000	0.151000
0	20000	0.010000	0.982000	0.610000
0	30000	0.000000	2.065000	1.426000
0	40000	0.000000	3.756000	2.541000
0	50000	0.000000	6.251000	4.292000
0	60000	0.007000	9.433000	5.753000
0	70000	0.000000	12.490000	8.549000
0	80000	0.000000	15.753000	10.095000
0	90000	0.016000	21.534000	13.068000
0	100000	0.000000	23.695000	16.385000
1	10	0.000000	0.000000	0.000000
1	100	0.000000	0.000000	0.000000
1	1000	0.000000	0.001000	0.001000
1	10000	0.001000	0.222000	0.144000
1	20000	0.002000	0.905000	0.604000
1	30000	0.003000	2.076000	1.539000
1	40000	0.004000	3.746000	2.641000
1	50000	0.005000	5.930000	4.086000
1	60000	0.007000	8.447000	5.840000
1	70000	0.007000	11.421000	7.822000
1	80000	0.014000	14.743000	10.476000
1	90000	0.000000	19.267000	13.199000
1	100000	0.007000	23.320000	15.378000
